index,name,type1,type2,ability1,ability2,hidden_ability,height,weight,hp,attack,defense,sp_atk,sp_def,speed,total_stats,legendary,mythical,generation
172,pichu,electric,None,static,None,lightning-rod,0,2,20,40,15,35,35,60,205,False,False,generation-ii
173,cleffa,fairy,None,cute-charm,magic-guard,friend-guard,0,3,50,25,28,45,55,15,218,False,False,generation-ii
174,igglybuff,normal,fairy,cute-charm,competitive,friend-guard,0,1,90,30,15,40,20,15,210,False,False,generation-ii
175,togepi,fairy,None,hustle,serene-grace,super-luck,0,1,35,20,65,40,65,20,245,False,False,generation-ii
176,togetic,fairy,flying,hustle,serene-grace,super-luck,0,3,55,40,85,80,105,40,405,False,False,generation-ii
177,natu,psychic,flying,synchronize,early-bird,magic-bounce,0,2,40,50,45,70,45,70,320,False,False,generation-ii
178,xatu,psychic,flying,synchronize,early-bird,magic-bounce,1,15,65,75,70,95,70,95,470,False,False,generation-ii
179,mareep,electric,None,static,None,plus,0,7,55,40,40,65,45,35,280,False,False,generation-ii
180,flaaffy,electric,None,static,None,plus,0,13,70,55,55,80,60,45,365,False,False,generation-ii
181,ampharos,electric,None,static,None,plus,1,61,90,75,85,115,90,55,510,False,False,generation-ii
181,ampharos-mega,electric,dragon,mold-breaker,None,None ,1,61,90,95,105,165,110,45,610,False,False,generation-ii
182,bellossom,grass,None,chlorophyll,None,healer,0,5,75,80,95,90,100,50,490,False,False,generation-ii
183,marill,water,fairy,thick-fat,huge-power,sap-sipper,0,8,70,20,50,20,50,40,250,False,False,generation-ii
184,azumarill,water,fairy,thick-fat,huge-power,sap-sipper,0,28,100,50,80,60,80,50,420,False,False,generation-ii
185,sudowoodo,rock,None,sturdy,rock-head,rattled,1,38,70,100,115,30,65,30,410,False,False,generation-ii
186,politoed,water,None,water-absorb,damp,drizzle,1,33,90,75,75,90,100,70,500,False,False,generation-ii
187,hoppip,grass,flying,chlorophyll,leaf-guard,infiltrator,0,0,35,35,40,35,55,50,250,False,False,generation-ii
188,skiploom,grass,flying,chlorophyll,leaf-guard,infiltrator,0,1,55,45,50,45,65,80,340,False,False,generation-ii
189,jumpluff,grass,flying,chlorophyll,leaf-guard,infiltrator,0,3,75,55,70,55,95,110,460,False,False,generation-ii
190,aipom,normal,None,run-away,pickup,skill-link,0,11,55,70,55,40,55,85,360,False,False,generation-ii
191,sunkern,grass,None,chlorophyll,solar-power,early-bird,0,1,30,30,30,30,30,30,180,False,False,generation-ii
192,sunflora,grass,None,chlorophyll,solar-power,early-bird,0,8,75,75,55,105,85,30,425,False,False,generation-ii
193,yanma,bug,flying,speed-boost,compound-eyes,frisk,1,38,65,65,45,75,45,95,390,False,False,generation-ii
194,wooper,water,ground,damp,water-absorb,unaware,0,8,55,45,45,25,25,15,210,False,False,generation-ii
194,wooper-paldea,poison,ground,poison-point,water-absorb,unaware,0,11,55,45,45,25,25,15,210,False,False,generation-ii
195,quagsire,water,ground,damp,water-absorb,unaware,1,75,95,85,85,65,65,35,430,False,False,generation-ii
196,espeon,psychic,None,synchronize,None,magic-bounce,0,26,65,65,60,130,95,110,525,False,False,generation-ii
197,umbreon,dark,None,synchronize,None,inner-focus,1,27,95,65,110,60,130,65,525,False,False,generation-ii
198,murkrow,dark,flying,insomnia,super-luck,prankster,0,2,60,85,42,85,42,91,405,False,False,generation-ii
199,slowking,water,psychic,oblivious,own-tempo,regenerator,2,79,95,75,80,100,110,30,490,False,False,generation-ii
199,slowking-galar,poison,psychic,curious-medicine,own-tempo,regenerator,1,79,95,65,80,110,110,30,490,False,False,generation-ii
200,misdreavus,ghost,None,levitate,None,None ,0,1,60,60,60,85,85,85,435,False,False,generation-ii
201,unown,psychic,None,levitate,None,None ,0,5,48,72,48,72,48,48,336,False,False,generation-ii
202,wobbuffet,psychic,None,shadow-tag,None,telepathy,1,28,190,33,58,33,58,33,405,False,False,generation-ii
203,girafarig,normal,psychic,inner-focus,early-bird,sap-sipper,1,41,70,80,65,90,65,85,455,False,False,generation-ii
204,pineco,bug,None,sturdy,None,overcoat,0,7,50,65,90,35,35,15,290,False,False,generation-ii
205,forretress,bug,steel,sturdy,None,overcoat,1,125,75,90,140,60,60,40,465,False,False,generation-ii
206,dunsparce,normal,None,serene-grace,run-away,rattled,1,14,100,70,70,65,65,45,415,False,False,generation-ii
207,gligar,ground,flying,hyper-cutter,sand-veil,immunity,1,64,65,75,105,35,65,85,430,False,False,generation-ii
208,steelix,steel,ground,rock-head,sturdy,sheer-force,9,400,75,85,200,55,65,30,510,False,False,generation-ii
208,steelix-mega,steel,ground,sand-force,None,None ,10,740,75,125,230,55,95,30,610,False,False,generation-ii
209,snubbull,fairy,None,intimidate,run-away,rattled,0,7,60,80,50,40,40,30,300,False,False,generation-ii
210,granbull,fairy,None,intimidate,quick-feet,rattled,1,48,90,120,75,60,60,45,450,False,False,generation-ii
211,qwilfish,water,poison,poison-point,swift-swim,intimidate,0,3,65,95,85,55,55,85,440,False,False,generation-ii
211,qwilfish-hisui,dark,poison,poison-point,swift-swim,intimidate,0,3,65,95,85,55,55,85,440,False,False,generation-ii
212,scizor,bug,steel,swarm,technician,light-metal,1,118,70,130,100,55,80,65,500,False,False,generation-ii
212,scizor-mega,bug,steel,technician,None,None ,2,125,70,150,140,65,100,75,600,False,False,generation-ii
213,shuckle,bug,rock,sturdy,gluttony,contrary,0,20,20,10,230,10,230,5,505,False,False,generation-ii
214,heracross,bug,fighting,swarm,guts,moxie,1,54,80,125,75,40,95,85,500,False,False,generation-ii
214,heracross-mega,bug,fighting,skill-link,None,None ,1,62,80,185,115,40,105,75,600,False,False,generation-ii
215,sneasel,dark,ice,inner-focus,keen-eye,pickpocket,0,28,55,95,55,35,75,115,430,False,False,generation-ii
215,sneasel-hisui,fighting,poison,inner-focus,keen-eye,pickpocket,0,27,55,95,55,35,75,115,430,False,False,generation-ii
216,teddiursa,normal,None,pickup,quick-feet,honey-gather,0,8,60,80,50,50,50,40,330,False,False,generation-ii
217,ursaring,normal,None,guts,quick-feet,unnerve,1,125,90,130,75,75,75,55,500,False,False,generation-ii
218,slugma,fire,None,magma-armor,flame-body,weak-armor,0,35,40,40,40,70,40,20,250,False,False,generation-ii
219,magcargo,fire,rock,magma-armor,flame-body,weak-armor,0,55,60,50,120,90,80,30,430,False,False,generation-ii
220,swinub,ice,ground,oblivious,snow-cloak,thick-fat,0,6,50,50,40,30,30,50,250,False,False,generation-ii
221,piloswine,ice,ground,oblivious,snow-cloak,thick-fat,1,55,100,100,80,60,60,50,450,False,False,generation-ii
222,corsola,water,rock,hustle,natural-cure,regenerator,0,5,65,55,95,65,95,35,410,False,False,generation-ii
222,corsola-galar,ghost,None,weak-armor,None,cursed-body,0,0,60,55,100,65,100,30,410,False,False,generation-ii
223,remoraid,water,None,hustle,sniper,moody,0,12,35,65,35,65,35,65,300,False,False,generation-ii
224,octillery,water,None,suction-cups,sniper,moody,0,28,75,105,75,105,75,45,480,False,False,generation-ii
225,delibird,ice,flying,vital-spirit,hustle,insomnia,0,16,45,55,45,65,45,75,330,False,False,generation-ii
226,mantine,water,flying,swift-swim,water-absorb,water-veil,2,220,85,40,70,80,140,70,485,False,False,generation-ii
227,skarmory,steel,flying,keen-eye,sturdy,weak-armor,1,50,65,80,140,40,70,70,465,False,False,generation-ii
228,houndour,dark,fire,early-bird,flash-fire,unnerve,0,10,45,60,30,80,50,65,330,False,False,generation-ii
229,houndoom,dark,fire,early-bird,flash-fire,unnerve,1,35,75,90,50,110,80,95,500,False,False,generation-ii
229,houndoom-mega,dark,fire,solar-power,None,None ,1,49,75,90,90,140,90,115,600,False,False,generation-ii
230,kingdra,water,dragon,swift-swim,sniper,damp,1,152,75,95,95,95,95,85,540,False,False,generation-ii
231,phanpy,ground,None,pickup,None,sand-veil,0,33,90,60,60,40,40,40,330,False,False,generation-ii
232,donphan,ground,None,sturdy,None,sand-veil,1,120,90,120,120,60,60,50,500,False,False,generation-ii
233,porygon2,normal,None,trace,download,analytic,0,32,85,80,90,105,95,60,515,False,False,generation-ii
234,stantler,normal,None,intimidate,frisk,sap-sipper,1,71,73,95,62,85,65,85,465,False,False,generation-ii
235,smeargle,normal,None,own-tempo,technician,moody,1,58,55,20,35,20,45,75,250,False,False,generation-ii
236,tyrogue,fighting,None,guts,steadfast,vital-spirit,0,21,35,35,35,35,35,35,210,False,False,generation-ii
237,hitmontop,fighting,None,intimidate,technician,steadfast,1,48,50,95,95,35,110,70,455,False,False,generation-ii
238,smoochum,ice,psychic,oblivious,forewarn,hydration,0,6,45,30,15,85,65,65,305,False,False,generation-ii
239,elekid,electric,None,static,None,vital-spirit,0,23,45,63,37,65,55,95,360,False,False,generation-ii
240,magby,fire,None,flame-body,None,vital-spirit,0,21,45,75,37,70,55,83,365,False,False,generation-ii
241,miltank,normal,None,thick-fat,scrappy,sap-sipper,1,75,95,80,105,40,70,100,490,False,False,generation-ii
242,blissey,normal,None,natural-cure,serene-grace,healer,1,46,255,10,10,75,135,55,540,False,False,generation-ii
243,raikou,electric,None,pressure,None,inner-focus,1,178,90,85,75,115,100,115,580,True,False,generation-ii
244,entei,fire,None,pressure,None,inner-focus,2,198,115,115,85,90,75,100,580,True,False,generation-ii
245,suicune,water,None,pressure,None,inner-focus,2,187,100,75,115,90,115,85,580,True,False,generation-ii
246,larvitar,rock,ground,guts,None,sand-veil,0,72,50,64,50,45,50,41,300,False,False,generation-ii
247,pupitar,rock,ground,shed-skin,None,None ,1,152,70,84,70,65,70,51,410,False,False,generation-ii
248,tyranitar,rock,dark,sand-stream,None,unnerve,2,202,100,134,110,95,100,61,600,False,False,generation-ii
248,tyranitar-mega,rock,dark,sand-stream,None,None ,2,255,100,164,150,95,120,71,700,False,False,generation-ii
249,lugia,psychic,flying,pressure,None,multiscale,5,216,106,90,130,90,154,110,680,True,False,generation-ii
250,ho-oh,fire,flying,pressure,None,regenerator,3,199,106,130,90,110,154,90,680,True,False,generation-ii
251,celebi,psychic,grass,natural-cure,None,None ,0,5,100,100,100,100,100,100,600,False,True,generation-ii
252,treecko,grass,None,overgrow,None,unburden,0,5,40,45,35,65,55,70,310,False,False,generation-iii
253,grovyle,grass,None,overgrow,None,unburden,0,21,50,65,45,85,65,95,405,False,False,generation-iii
254,sceptile,grass,None,overgrow,None,unburden,1,52,70,85,65,105,85,120,530,False,False,generation-iii
254,sceptile-mega,grass,dragon,lightning-rod,None,None ,1,55,70,110,75,145,85,145,630,False,False,generation-iii
255,torchic,fire,None,blaze,None,speed-boost,0,2,45,60,40,70,50,45,310,False,False,generation-iii
256,combusken,fire,fighting,blaze,None,speed-boost,0,19,60,85,60,85,60,55,405,False,False,generation-iii
257,blaziken,fire,fighting,blaze,None,speed-boost,1,52,80,120,70,110,70,80,530,False,False,generation-iii
257,blaziken-mega,fire,fighting,speed-boost,None,None ,1,52,80,160,80,130,80,100,630,False,False,generation-iii
258,mudkip,water,None,torrent,None,damp,0,7,50,70,50,50,50,40,310,False,False,generation-iii
259,marshtomp,water,ground,torrent,None,damp,0,28,70,85,70,60,70,50,405,False,False,generation-iii
260,swampert,water,ground,torrent,None,damp,1,81,100,110,90,85,90,60,535,False,False,generation-iii
260,swampert-mega,water,ground,swift-swim,None,None ,1,102,100,150,110,95,110,70,635,False,False,generation-iii
261,poochyena,dark,None,run-away,quick-feet,rattled,0,13,35,55,35,30,30,35,220,False,False,generation-iii
262,mightyena,dark,None,intimidate,quick-feet,moxie,1,37,70,90,70,60,60,70,420,False,False,generation-iii
263,zigzagoon,normal,None,pickup,gluttony,quick-feet,0,17,38,30,41,30,41,60,240,False,False,generation-iii
263,zigzagoon-galar,dark,normal,pickup,gluttony,quick-feet,0,17,38,30,41,30,41,60,240,False,False,generation-iii
264,linoone,normal,None,pickup,gluttony,quick-feet,0,32,78,70,61,50,61,100,420,False,False,generation-iii
264,linoone-galar,dark,normal,pickup,gluttony,quick-feet,0,32,78,70,61,50,61,100,420,False,False,generation-iii
265,wurmple,bug,None,shield-dust,None,run-away,0,3,45,45,35,20,30,20,195,False,False,generation-iii
266,silcoon,bug,None,shed-skin,None,None ,0,10,50,35,55,25,25,15,205,False,False,generation-iii
267,beautifly,bug,flying,swarm,None,rivalry,1,28,60,70,50,100,50,65,395,False,False,generation-iii
268,cascoon,bug,None,shed-skin,None,None ,0,11,50,35,55,25,25,15,205,False,False,generation-iii
269,dustox,bug,poison,shield-dust,None,compound-eyes,1,31,60,50,70,50,90,65,385,False,False,generation-iii
270,lotad,water,grass,swift-swim,rain-dish,own-tempo,0,2,40,30,30,40,50,30,220,False,False,generation-iii
271,lombre,water,grass,swift-swim,rain-dish,own-tempo,1,32,60,50,50,60,70,50,340,False,False,generation-iii
272,ludicolo,water,grass,swift-swim,rain-dish,own-tempo,1,55,80,70,70,90,100,70,480,False,False,generation-iii
273,seedot,grass,None,chlorophyll,early-bird,pickpocket,0,4,40,40,50,30,30,30,220,False,False,generation-iii
274,nuzleaf,grass,dark,chlorophyll,early-bird,pickpocket,1,28,70,70,40,60,40,60,340,False,False,generation-iii
275,shiftry,grass,dark,chlorophyll,wind-rider,pickpocket,1,59,90,100,60,90,60,80,480,False,False,generation-iii
276,taillow,normal,flying,guts,None,scrappy,0,2,40,55,30,30,30,85,270,False,False,generation-iii
277,swellow,normal,flying,guts,None,scrappy,0,19,60,85,60,75,50,125,455,False,False,generation-iii
278,wingull,water,flying,keen-eye,hydration,rain-dish,0,9,40,30,30,55,30,85,270,False,False,generation-iii
279,pelipper,water,flying,keen-eye,drizzle,rain-dish,1,28,60,50,100,95,70,65,440,False,False,generation-iii
280,ralts,psychic,fairy,synchronize,trace,telepathy,0,6,28,25,25,45,35,40,198,False,False,generation-iii
281,kirlia,psychic,fairy,synchronize,trace,telepathy,0,20,38,35,35,65,55,50,278,False,False,generation-iii
282,gardevoir,psychic,fairy,synchronize,trace,telepathy,1,48,68,65,65,125,115,80,518,False,False,generation-iii
282,gardevoir-mega,psychic,fairy,pixilate,None,None ,1,48,68,85,65,165,135,100,618,False,False,generation-iii
283,surskit,bug,water,swift-swim,None,rain-dish,0,1,40,30,32,50,52,65,269,False,False,generation-iii
284,masquerain,bug,flying,intimidate,None,unnerve,0,3,70,60,62,100,82,80,454,False,False,generation-iii
285,shroomish,grass,None,effect-spore,poison-heal,quick-feet,0,4,60,40,60,40,60,35,295,False,False,generation-iii
286,breloom,grass,fighting,effect-spore,poison-heal,technician,1,39,60,130,80,60,60,70,460,False,False,generation-iii
287,slakoth,normal,None,truant,None,None ,0,24,60,60,60,35,35,30,280,False,False,generation-iii
288,vigoroth,normal,None,vital-spirit,None,None ,1,46,80,80,80,55,55,90,440,False,False,generation-iii
289,slaking,normal,None,truant,None,None ,2,130,150,160,100,95,65,100,670,False,False,generation-iii
290,nincada,bug,ground,compound-eyes,None,run-away,0,5,31,45,90,30,30,40,266,False,False,generation-iii
291,ninjask,bug,flying,speed-boost,None,infiltrator,0,12,61,90,45,50,50,160,456,False,False,generation-iii
292,shedinja,bug,ghost,wonder-guard,None,None ,0,1,1,90,45,30,30,40,236,False,False,generation-iii
293,whismur,normal,None,soundproof,None,rattled,0,16,64,51,23,51,23,28,240,False,False,generation-iii
294,loudred,normal,None,soundproof,None,scrappy,1,40,84,71,43,71,43,48,360,False,False,generation-iii
295,exploud,normal,None,soundproof,None,scrappy,1,84,104,91,63,91,73,68,490,False,False,generation-iii
296,makuhita,fighting,None,thick-fat,guts,sheer-force,1,86,72,60,30,20,30,25,237,False,False,generation-iii
297,hariyama,fighting,None,thick-fat,guts,sheer-force,2,253,144,120,60,40,60,50,474,False,False,generation-iii
298,azurill,normal,fairy,thick-fat,huge-power,sap-sipper,0,2,50,20,40,20,40,20,190,False,False,generation-iii
299,nosepass,rock,None,sturdy,magnet-pull,sand-force,1,97,30,45,135,45,90,30,375,False,False,generation-iii
300,skitty,normal,None,cute-charm,normalize,wonder-skin,0,11,50,45,45,35,35,50,260,False,False,generation-iii
301,delcatty,normal,None,cute-charm,normalize,wonder-skin,1,32,70,65,65,55,55,90,400,False,False,generation-iii
302,sableye,dark,ghost,keen-eye,stall,prankster,0,11,50,75,75,65,65,50,380,False,False,generation-iii
302,sableye-mega,dark,ghost,magic-bounce,None,None ,0,161,50,85,125,85,115,20,480,False,False,generation-iii
303,mawile,steel,fairy,hyper-cutter,intimidate,sheer-force,0,11,50,85,85,55,55,50,380,False,False,generation-iii
303,mawile-mega,steel,fairy,huge-power,None,None ,1,23,50,105,125,55,95,50,480,False,False,generation-iii
304,aron,steel,rock,sturdy,rock-head,heavy-metal,0,60,50,70,100,40,40,30,330,False,False,generation-iii
305,lairon,steel,rock,sturdy,rock-head,heavy-metal,0,120,60,90,140,50,50,40,430,False,False,generation-iii
306,aggron,steel,rock,sturdy,rock-head,heavy-metal,2,360,70,110,180,60,60,50,530,False,False,generation-iii
306,aggron-mega,steel,None,filter,None,None ,2,395,70,140,230,60,80,50,630,False,False,generation-iii
307,meditite,fighting,psychic,pure-power,None,telepathy,0,11,30,40,55,40,55,60,280,False,False,generation-iii
308,medicham,fighting,psychic,pure-power,None,telepathy,1,31,60,60,75,60,75,80,410,False,False,generation-iii
308,medicham-mega,fighting,psychic,pure-power,None,None ,1,31,60,100,85,80,85,100,510,False,False,generation-iii
309,electrike,electric,None,static,lightning-rod,minus,0,15,40,45,40,65,40,65,295,False,False,generation-iii
310,manectric,electric,None,static,lightning-rod,minus,1,40,70,75,60,105,60,105,475,False,False,generation-iii
310,manectric-mega,electric,None,intimidate,None,None ,1,44,70,75,80,135,80,135,575,False,False,generation-iii
311,plusle,electric,None,plus,None,lightning-rod,0,4,60,50,40,85,75,95,405,False,False,generation-iii
312,minun,electric,None,minus,None,volt-absorb,0,4,60,40,50,75,85,95,405,False,False,generation-iii
313,volbeat,bug,None,illuminate,swarm,prankster,0,17,65,73,75,47,85,85,430,False,False,generation-iii
314,illumise,bug,None,oblivious,tinted-lens,prankster,0,17,65,47,75,73,85,85,430,False,False,generation-iii
315,roselia,grass,poison,natural-cure,poison-point,leaf-guard,0,2,50,60,45,100,80,65,400,False,False,generation-iii
316,gulpin,poison,None,liquid-ooze,sticky-hold,gluttony,0,10,70,43,53,43,53,40,302,False,False,generation-iii
317,swalot,poison,None,liquid-ooze,sticky-hold,gluttony,1,80,100,73,83,73,83,55,467,False,False,generation-iii
318,carvanha,water,dark,rough-skin,None,speed-boost,0,20,45,90,20,65,20,65,305,False,False,generation-iii
319,sharpedo,water,dark,rough-skin,None,speed-boost,1,88,70,120,40,95,40,95,460,False,False,generation-iii
319,sharpedo-mega,water,dark,strong-jaw,None,None ,2,130,70,140,70,110,65,105,560,False,False,generation-iii
320,wailmer,water,None,water-veil,oblivious,pressure,2,130,130,70,35,70,35,60,400,False,False,generation-iii
321,wailord,water,None,water-veil,oblivious,pressure,14,398,170,90,45,90,45,60,500,False,False,generation-iii
322,numel,fire,ground,oblivious,simple,own-tempo,0,24,60,60,40,65,45,35,305,False,False,generation-iii
323,camerupt,fire,ground,magma-armor,solid-rock,anger-point,1,220,70,100,70,105,75,40,460,False,False,generation-iii
323,camerupt-mega,fire,ground,sheer-force,None,None ,2,320,70,120,100,145,105,20,560,False,False,generation-iii
324,torkoal,fire,None,white-smoke,drought,shell-armor,0,80,70,85,140,85,70,20,470,False,False,generation-iii
325,spoink,psychic,None,thick-fat,own-tempo,gluttony,0,30,60,25,35,70,80,60,330,False,False,generation-iii
326,grumpig,psychic,None,thick-fat,own-tempo,gluttony,0,71,80,45,65,90,110,80,470,False,False,generation-iii
327,spinda,normal,None,own-tempo,tangled-feet,contrary,1,5,60,60,60,60,60,60,360,False,False,generation-iii
328,trapinch,ground,None,hyper-cutter,arena-trap,sheer-force,0,15,45,100,45,45,45,10,290,False,False,generation-iii
329,vibrava,ground,dragon,levitate,None,None ,1,15,50,70,50,50,50,70,340,False,False,generation-iii
330,flygon,ground,dragon,levitate,None,None ,2,82,80,100,80,80,80,100,520,False,False,generation-iii
331,cacnea,grass,None,sand-veil,None,water-absorb,0,51,50,85,40,85,40,35,335,False,False,generation-iii
332,cacturne,grass,dark,sand-veil,None,water-absorb,1,77,70,115,60,115,60,55,475,False,False,generation-iii
333,swablu,normal,flying,natural-cure,None,cloud-nine,0,1,45,40,60,40,75,50,310,False,False,generation-iii
334,altaria,dragon,flying,natural-cure,None,cloud-nine,1,20,75,70,90,70,105,80,490,False,False,generation-iii
334,altaria-mega,dragon,fairy,pixilate,None,None ,1,20,75,110,110,110,105,80,590,False,False,generation-iii
335,zangoose,normal,None,immunity,None,toxic-boost,1,40,73,115,60,60,60,90,458,False,False,generation-iii
336,seviper,poison,None,shed-skin,None,infiltrator,2,52,73,100,60,100,60,65,458,False,False,generation-iii
337,lunatone,rock,psychic,levitate,None,None ,1,168,90,55,65,95,85,70,460,False,False,generation-iii
338,solrock,rock,psychic,levitate,None,None ,1,154,90,95,85,55,65,70,460,False,False,generation-iii
339,barboach,water,ground,oblivious,anticipation,hydration,0,1,50,48,43,46,41,60,288,False,False,generation-iii
340,whiscash,water,ground,oblivious,anticipation,hydration,0,23,110,78,73,76,71,60,468,False,False,generation-iii
341,corphish,water,None,hyper-cutter,shell-armor,adaptability,0,11,43,80,65,50,35,35,308,False,False,generation-iii
342,crawdaunt,water,dark,hyper-cutter,shell-armor,adaptability,1,32,63,120,85,90,55,55,468,False,False,generation-iii
343,baltoy,ground,psychic,levitate,None,None ,0,21,40,40,55,40,70,55,300,False,False,generation-iii
344,claydol,ground,psychic,levitate,None,None ,1,108,60,70,105,70,120,75,500,False,False,generation-iii
345,lileep,rock,grass,suction-cups,None,storm-drain,1,23,66,41,77,61,87,23,355,False,False,generation-iii
346,cradily,rock,grass,suction-cups,None,storm-drain,1,60,86,81,97,81,107,43,495,False,False,generation-iii
347,anorith,rock,bug,battle-armor,None,swift-swim,0,12,45,95,50,40,50,75,355,False,False,generation-iii
348,armaldo,rock,bug,battle-armor,None,swift-swim,1,68,75,125,100,70,80,45,495,False,False,generation-iii
349,feebas,water,None,swift-swim,oblivious,adaptability,0,7,20,15,20,10,55,80,200,False,False,generation-iii
350,milotic,water,None,marvel-scale,competitive,cute-charm,6,162,95,60,79,100,125,81,540,False,False,generation-iii
351,castform,normal,None,forecast,None,None ,0,0,70,70,70,70,70,70,420,False,False,generation-iii
351,castform-sunny,fire,None,forecast,None,None ,0,0,70,70,70,70,70,70,420,False,False,generation-iii
351,castform-rainy,water,None,forecast,None,None ,0,0,70,70,70,70,70,70,420,False,False,generation-iii
351,castform-snowy,ice,None,forecast,None,None ,0,0,70,70,70,70,70,70,420,False,False,generation-iii
352,kecleon,normal,None,color-change,None,protean,1,22,60,90,70,60,120,40,440,False,False,generation-iii
353,shuppet,ghost,None,insomnia,frisk,cursed-body,0,2,44,75,35,63,33,45,295,False,False,generation-iii
354,banette,ghost,None,insomnia,frisk,cursed-body,1,12,64,115,65,83,63,65,455,False,False,generation-iii
354,banette-mega,ghost,None,prankster,None,None ,1,13,64,165,75,93,83,75,555,False,False,generation-iii
355,duskull,ghost,None,levitate,None,frisk,0,15,20,40,90,30,90,25,295,False,False,generation-iii
356,dusclops,ghost,None,pressure,None,frisk,1,30,40,70,130,60,130,25,455,False,False,generation-iii
357,tropius,grass,flying,chlorophyll,solar-power,harvest,2,100,99,68,83,72,87,51,460,False,False,generation-iii
358,chimecho,psychic,None,levitate,None,None ,0,1,75,50,80,95,90,65,455,False,False,generation-iii
359,absol,dark,None,pressure,super-luck,justified,1,47,65,130,60,75,60,75,465,False,False,generation-iii
359,absol-mega,dark,None,magic-bounce,None,None ,1,49,65,150,60,115,60,115,565,False,False,generation-iii
360,wynaut,psychic,None,shadow-tag,None,telepathy,0,14,95,23,48,23,48,23,260,False,False,generation-iii
361,snorunt,ice,None,inner-focus,ice-body,moody,0,16,50,50,50,50,50,50,300,False,False,generation-iii
362,glalie,ice,None,inner-focus,ice-body,moody,1,256,80,80,80,80,80,80,480,False,False,generation-iii
362,glalie-mega,ice,None,refrigerate,None,None ,2,350,80,120,80,120,80,100,580,False,False,generation-iii
363,spheal,ice,water,thick-fat,ice-body,oblivious,0,39,70,40,50,55,50,25,290,False,False,generation-iii
364,sealeo,ice,water,thick-fat,ice-body,oblivious,1,87,90,60,70,75,70,45,410,False,False,generation-iii
365,walrein,ice,water,thick-fat,ice-body,oblivious,1,150,110,80,90,95,90,65,530,False,False,generation-iii
366,clamperl,water,None,shell-armor,None,rattled,0,52,35,64,85,74,55,32,345,False,False,generation-iii
367,huntail,water,None,swift-swim,None,water-veil,1,27,55,104,105,94,75,52,485,False,False,generation-iii
368,gorebyss,water,None,swift-swim,None,hydration,1,22,55,84,105,114,75,52,485,False,False,generation-iii
369,relicanth,water,rock,swift-swim,rock-head,sturdy,1,23,100,90,130,45,65,55,485,False,False,generation-iii
370,luvdisc,water,None,swift-swim,None,hydration,0,8,43,30,55,40,65,97,330,False,False,generation-iii
371,bagon,dragon,None,rock-head,None,sheer-force,0,42,45,75,60,40,30,50,300,False,False,generation-iii
372,shelgon,dragon,None,rock-head,None,overcoat,1,110,65,95,100,60,50,50,420,False,False,generation-iii
373,salamence,dragon,flying,intimidate,None,moxie,1,102,95,135,80,110,80,100,600,False,False,generation-iii
373,salamence-mega,dragon,flying,aerilate,None,None ,1,112,95,145,130,120,90,120,700,False,False,generation-iii
374,beldum,steel,psychic,clear-body,None,light-metal,0,95,40,55,80,35,60,30,300,False,False,generation-iii
375,metang,steel,psychic,clear-body,None,light-metal,1,202,60,75,100,55,80,50,420,False,False,generation-iii
376,metagross,steel,psychic,clear-body,None,light-metal,1,550,80,135,130,95,90,70,600,False,False,generation-iii
376,metagross-mega,steel,psychic,tough-claws,None,None ,2,942,80,145,150,105,110,110,700,False,False,generation-iii
377,regirock,rock,None,clear-body,None,sturdy,1,230,80,100,200,50,100,50,580,True,False,generation-iii
378,regice,ice,None,clear-body,None,ice-body,1,175,80,50,100,100,200,50,580,True,False,generation-iii
379,registeel,steel,None,clear-body,None,light-metal,1,205,80,75,150,75,150,50,580,True,False,generation-iii
380,latias,dragon,psychic,levitate,None,None ,1,40,80,80,90,110,130,110,600,True,False,generation-iii
380,latias-mega,dragon,psychic,levitate,None,None ,1,52,80,100,120,140,150,110,700,True,False,generation-iii
381,latios,dragon,psychic,levitate,None,None ,2,60,80,90,80,130,110,110,600,True,False,generation-iii
381,latios-mega,dragon,psychic,levitate,None,None ,2,70,80,130,100,160,120,110,700,True,False,generation-iii
382,kyogre,water,None,drizzle,None,None ,4,352,100,100,90,150,140,90,670,True,False,generation-iii
382,kyogre-primal,water,None,primordial-sea,None,None ,9,430,100,150,90,180,160,90,770,True,False,generation-iii
383,groudon,ground,None,drought,None,None ,3,950,100,150,140,100,90,90,670,True,False,generation-iii
383,groudon-primal,ground,fire,desolate-land,None,None ,5,999,100,180,160,150,90,90,770,True,False,generation-iii
384,rayquaza,dragon,flying,air-lock,None,None ,7,206,105,150,90,150,90,95,680,True,False,generation-iii
384,rayquaza-mega,dragon,flying,delta-stream,None,None ,10,392,105,180,100,180,100,115,780,True,False,generation-iii
385,jirachi,steel,psychic,serene-grace,None,None ,0,1,100,100,100,100,100,100,600,False,True,generation-iii
386,deoxys-normal,psychic,None,pressure,None,None ,1,60,50,150,50,150,50,150,600,False,True,generation-iii
386,deoxys-attack,psychic,None,pressure,None,None ,1,60,50,180,20,180,20,150,600,False,True,generation-iii
386,deoxys-defense,psychic,None,pressure,None,None ,1,60,50,70,160,70,160,90,600,False,True,generation-iii
386,deoxys-speed,psychic,None,pressure,None,None ,1,60,50,95,90,95,90,180,600,False,True,generation-iii
387,turtwig,grass,None,overgrow,None,shell-armor,0,10,55,68,64,45,55,31,318,False,False,generation-iv
